scenario,maneuver,metric,method_a,method_b,raw_p_paired,corrected_p_paired,significant_paired,marker_paired,cohens_d
1b,stem_right,collision_rate,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,collision_rate,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,collision_rate,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,collision_rate,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_right,collision_rate,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1b,stem_right,collision_rate,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
2_dense,right_left,collision_rate,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,right_stem,collision_rate,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_left,collision_rate,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_right,collision_rate,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1b,stem_right,collision_rate,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
2_dense,right_left,collision_rate,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,right_stem,collision_rate,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,collision_rate,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,collision_rate,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,collision_rate,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,collision_rate,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,collision_rate,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,collision_rate,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_right,collision_rate,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1b,stem_right,collision_rate,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
2_dense,right_left,collision_rate,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,right_stem,collision_rate,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_left,collision_rate,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_right,collision_rate,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1b,stem_right,collision_rate,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
2_dense,right_left,collision_rate,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,right_stem,collision_rate,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,collision_rate,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,collision_rate,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,collision_rate,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,collision_rate,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,collision_rate,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,collision_rate,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,collision_rate,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,collision_rate,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,collision_rate,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,collision_rate,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_left,collision_rate,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_right,collision_rate,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1b,stem_right,collision_rate,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
2_dense,right_left,collision_rate,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1a,right_stem,collision_rate,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,collision_rate,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,collision_rate,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,collision_rate,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,collision_rate,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,collision_rate,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,collision_rate,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,collision_rate,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,collision_rate,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,collision_rate,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,collision_rate,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,collision_rate,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_right,collision_rate,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1b,stem_right,collision_rate,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
2_dense,right_left,collision_rate,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,right_stem,success_rate,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,success_rate,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,success_rate,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,success_rate,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,success_rate,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,success_rate,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,success_rate,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_right,success_rate,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1b,stem_right,success_rate,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
2_dense,right_left,success_rate,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,right_stem,success_rate,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_left,success_rate,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_right,success_rate,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1b,stem_right,success_rate,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
2_dense,right_left,success_rate,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,right_stem,success_rate,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,success_rate,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,success_rate,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,success_rate,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,success_rate,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,success_rate,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,success_rate,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_right,success_rate,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1b,stem_right,success_rate,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
2_dense,right_left,success_rate,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,right_stem,success_rate,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_left,success_rate,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_right,success_rate,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1b,stem_right,success_rate,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
2_dense,right_left,success_rate,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,right_stem,success_rate,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,success_rate,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,success_rate,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,success_rate,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,success_rate,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,success_rate,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,success_rate,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,success_rate,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,success_rate,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,success_rate,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,success_rate,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_left,success_rate,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_right,success_rate,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1b,stem_right,success_rate,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
2_dense,right_left,success_rate,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1a,right_stem,success_rate,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,success_rate,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,success_rate,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,success_rate,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,success_rate,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,success_rate,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,success_rate,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,success_rate,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,success_rate,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,success_rate,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,success_rate,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,success_rate,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_right,success_rate,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1b,stem_right,success_rate,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
2_dense,right_left,success_rate,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_ttc,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_ttc,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_ttc,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_ttc,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_ttc,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_ttc,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_ttc,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_ttc,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_ttc,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_ttc,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_ttc,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_ttc,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_ttc,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_ttc,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_ttc,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_ttc,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_ttc,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_ttc,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_ttc,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_ttc,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_ttc,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_ttc,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_ttc,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_ttc,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_ttc,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_ttc,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_ttc,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_ttc,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_ttc,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_ttc,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_ttc,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_ttc,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_ttc,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_ttc,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_ttc,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_ttc,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_ttc,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_ttc,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_ttc,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_ttc,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_ttc,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_ttc,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_ttc,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_ttc,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_ttc,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_ttc,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_ttc,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_ttc,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_ttc,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_ttc,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_ttc,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_ttc,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_ttc,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_ttc,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_ttc,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,mean_ttc,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,mean_ttc,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_right,mean_ttc,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1b,stem_right,mean_ttc,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
2_dense,right_left,mean_ttc,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,right_stem,min_ttc,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,min_ttc,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,min_ttc,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,min_ttc,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,min_ttc,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,min_ttc,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,min_ttc,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_right,min_ttc,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1b,stem_right,min_ttc,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
2_dense,right_left,min_ttc,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,right_stem,min_ttc,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_left,min_ttc,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_right,min_ttc,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1b,stem_right,min_ttc,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
2_dense,right_left,min_ttc,hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,right_stem,min_ttc,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,min_ttc,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,min_ttc,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,min_ttc,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,min_ttc,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,min_ttc,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,min_ttc,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_right,min_ttc,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1b,stem_right,min_ttc,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
2_dense,right_left,min_ttc,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,right_stem,min_ttc,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_left,min_ttc,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_right,min_ttc,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1b,stem_right,min_ttc,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
2_dense,right_left,min_ttc,soft_hjb_aux,cbf_aux,nan,nan,False,n/a,nan
1a,right_stem,min_ttc,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,min_ttc,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,min_ttc,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,min_ttc,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,min_ttc,eikonal_aux,hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,min_ttc,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,min_ttc,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,min_ttc,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,min_ttc,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,min_ttc,eikonal_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,min_ttc,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_left,min_ttc,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1a,stem_right,min_ttc,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1b,stem_right,min_ttc,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
2_dense,right_left,min_ttc,eikonal_aux,cbf_aux,nan,nan,False,n/a,nan
1a,right_stem,min_ttc,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,min_ttc,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,min_ttc,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,min_ttc,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,min_ttc,cbf_aux,hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,min_ttc,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,min_ttc,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,min_ttc,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,min_ttc,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,min_ttc,cbf_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,min_ttc,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,min_ttc,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_right,min_ttc,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1b,stem_right,min_ttc,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
2_dense,right_left,min_ttc,cbf_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,right_stem,ttc_p10_mean,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_left,ttc_p10_mean,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,stem_right,ttc_p10_mean,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1b,stem_right,ttc_p10_mean,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
2_dense,right_left,ttc_p10_mean,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,nan
1a,right_stem,ttc_p10_mean,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
1a,stem_left,ttc_p10_mean,hjb_aux,eikonal_aux,nan,nan,False,n/a,nan
