job_id,scenario,variant,pinn_placement,use_l_ego,use_safety_filter,use_ttc,use_stop,use_fric,lambda_phys,seed,use_intent
364,1b,pinn_actor,actor,False,False,True,True,True,1.0,999,False
365,1b,pinn_both,both,False,False,True,True,True,0.001,42,False
366,1b,pinn_both,both,False,False,True,True,True,0.001,123,False
367,1b,pinn_both,both,False,False,True,True,True,0.001,456,False
368,1b,pinn_both,both,False,False,True,True,True,0.001,789,False
369,1b,pinn_both,both,False,False,True,True,True,0.001,999,False
370,1b,pinn_both,both,False,False,True,True,True,0.01,42,False
371,1b,pinn_both,both,False,False,True,True,True,0.01,123,False
372,1b,pinn_both,both,False,False,True,True,True,0.01,456,False
373,1b,pinn_both,both,False,False,True,True,True,0.01,789,False
374,1b,pinn_both,both,False,False,True,True,True,0.01,999,False
375,1b,pinn_both,both,False,False,True,True,True,0.05,42,False
376,1b,pinn_both,both,False,False,True,True,True,0.05,123,False
377,1b,pinn_both,both,False,False,True,True,True,0.05,456,False
378,1b,pinn_both,both,False,False,True,True,True,0.05,789,False
379,1b,pinn_both,both,False,False,True,True,True,0.05,999,False
380,1b,pinn_both,both,False,False,True,True,True,0.1,42,False
381,1b,pinn_both,both,False,False,True,True,True,0.1,123,False
382,1b,pinn_both,both,False,False,True,True,True,0.1,456,False
383,1b,pinn_both,both,False,False,True,True,True,0.1,789,False
384,1b,pinn_both,both,False,False,True,True,True,0.1,999,False
385,1b,pinn_both,both,False,False,True,True,True,0.2,42,False
386,1b,pinn_both,both,False,False,True,True,True,0.2,123,False
387,1b,pinn_both,both,False,False,True,True,True,0.2,456,False
388,1b,pinn_both,both,False,False,True,True,True,0.2,789,False
389,1b,pinn_both,both,False,False,True,True,True,0.2,999,False
390,1b,pinn_both,both,False,False,True,True,True,0.5,42,False
391,1b,pinn_both,both,False,False,True,True,True,0.5,123,False
392,1b,pinn_both,both,False,False,True,True,True,0.5,456,False
393,1b,pinn_both,both,False,False,True,True,True,0.5,789,False
394,1b,pinn_both,both,False,False,True,True,True,0.5,999,False
395,1b,pinn_both,both,False,False,True,True,True,1.0,42,False
396,1b,pinn_both,both,False,False,True,True,True,1.0,123,False
397,1b,pinn_both,both,False,False,True,True,True,1.0,456,False
398,1b,pinn_both,both,False,False,True,True,True,1.0,789,False
399,1b,pinn_both,both,False,False,True,True,True,1.0,999,False
400,1b,pinn_ego,critic,True,False,True,True,True,0.001,42,False
401,1b,pinn_ego,critic,True,False,True,True,True,0.001,123,False
402,1b,pinn_ego,critic,True,False,True,True,True,0.001,456,False
403,1b,pinn_ego,critic,True,False,True,True,True,0.001,789,False
404,1b,pinn_ego,critic,True,False,True,True,True,0.001,999,False
405,1b,pinn_ego,critic,True,False,True,True,True,0.01,42,False
406,1b,pinn_ego,critic,True,False,True,True,True,0.01,123,False
407,1b,pinn_ego,critic,True,False,True,True,True,0.01,456,False
408,1b,pinn_ego,critic,True,False,True,True,True,0.01,789,False
409,1b,pinn_ego,critic,True,False,True,True,True,0.01,999,False
410,1b,pinn_ego,critic,True,False,True,True,True,0.05,42,False
411,1b,pinn_ego,critic,True,False,True,True,True,0.05,123,False
412,1b,pinn_ego,critic,True,False,True,True,True,0.05,456,False
