scenario,variant,pinn_placement,use_l_ego,use_safety_filter,use_intent,lambda_phys,seed,eval_mode,mean_return,std_return,collision_rate,pothole_hits_mean,mean_ttc,min_ttc
1c,pinn_no_stop,critic,False,False,True,1.0,123,deterministic,110.53618000000134,91.26412126343949,0.0,0.0,13.623831956249232,2.3506029352988578
1c,pinn_no_stop,critic,False,False,True,1.0,123,stochastic,15.619780000000057,107.69180268048056,0.0,0.0,17.183553580427546,6.169949571361105
1c,pinn_no_stop,critic,False,False,True,1.0,456,deterministic,219.13732000000167,143.88652512024163,0.0,0.0,11.570138304650225,4.093583657731746
1c,pinn_no_stop,critic,False,False,True,1.0,456,stochastic,66.23930000000001,121.46556178740539,0.0,0.0,13.912698512180484,6.9149916175512605
1c,pinn_no_stop,critic,False,False,True,1.0,789,deterministic,209.79626000000175,107.22746658852137,0.04,0.0,15.627528079037617,2.4829797762149504
1c,pinn_no_stop,critic,False,False,True,1.0,789,stochastic,181.19190000000015,159.388271166388,0.0,0.0,12.317579831603293,5.511576134195493
1c,pinn_no_stop,critic,False,False,True,1.0,999,deterministic,273.85050000000206,80.52892435001304,0.0,0.0,11.830722190891557,4.273434906240331
1c,pinn_no_stop,critic,False,False,True,1.0,999,stochastic,161.5489200000004,154.7329017102494,0.0,0.0,13.089549389088626,6.019668501229572
1c,pinn_no_fric,critic,False,False,True,0.001,42,deterministic,107.92415999999972,83.89549291072998,0.0,0.0,10.466777307695544,1.1212639122671795
1c,pinn_no_fric,critic,False,False,True,0.001,42,stochastic,120.57169999999985,158.55924134206114,0.0,0.0,11.926069880467217,4.472497568805083
1c,pinn_no_fric,critic,False,False,True,0.001,123,deterministic,91.0892400000001,117.48427361763106,0.02,0.0,14.3919444255282,1.2106249818212231
1c,pinn_no_fric,critic,False,False,True,0.001,123,stochastic,88.75674000000006,171.99395060952693,0.0,0.0,17.009769638647587,4.345270881353423
1c,pinn_no_fric,critic,False,False,True,0.001,456,deterministic,194.7668200000005,187.3681246334819,0.0,0.0,17.18722070613027,3.962848235374639
1c,pinn_no_fric,critic,False,False,True,0.001,456,stochastic,38.33564000000003,108.73977439663186,0.0,0.0,15.284288300305864,6.826890819479271
1c,pinn_no_fric,critic,False,False,True,0.001,789,deterministic,210.5973600000019,116.9823122354425,0.0,0.0,22.356107608964543,2.753635604907203
1c,pinn_no_fric,critic,False,False,True,0.001,789,stochastic,90.53727999999988,131.52563272078027,0.0,0.0,15.971570118010895,7.291111325596819
1c,pinn_no_fric,critic,False,False,True,0.001,999,deterministic,141.42902000000063,133.89829995388195,0.0,0.0,11.493641872760115,3.045355514402745
1c,pinn_no_fric,critic,False,False,True,0.001,999,stochastic,89.3604800000001,132.5552348825561,0.0,0.0,13.951357826189719,6.56234723221306
1c,pinn_no_fric,critic,False,False,True,0.01,42,deterministic,125.02298000000032,146.9087624691591,0.0,0.0,24.5328453820375,2.2237592763241314
1c,pinn_no_fric,critic,False,False,True,0.01,42,stochastic,97.84704000000022,181.8368101989212,0.0,0.0,12.926500654602972,5.007200600547196
1c,pinn_no_fric,critic,False,False,True,0.01,123,deterministic,72.71922000000005,84.49942624877198,0.06,0.0,15.507505163572523,1.0432236294908248
1c,pinn_no_fric,critic,False,False,True,0.01,123,stochastic,87.60861999999996,159.34099102891128,0.0,0.0,15.91534480210971,4.886410960846267
1c,pinn_no_fric,critic,False,False,True,0.01,456,deterministic,134.6958000000016,132.95760310580332,0.0,0.0,11.25609740018136,4.3133275279618895
1c,pinn_no_fric,critic,False,False,True,0.01,456,stochastic,-11.122859999999978,82.29158251486228,0.0,0.0,16.300237126367584,7.099818519055072
1c,pinn_no_fric,critic,False,False,True,0.01,789,deterministic,224.75816000000268,102.84052822138945,0.0,0.0,12.124849966530098,2.751310829745111
1c,pinn_no_fric,critic,False,False,True,0.01,789,stochastic,11.619739999999956,92.0576432711179,0.0,0.0,15.66139061541472,7.291313159145252
1c,pinn_no_fric,critic,False,False,True,0.01,999,deterministic,199.5841000000016,164.93069288343614,0.0,0.0,12.128479006013427,4.259875024310863
1c,pinn_no_fric,critic,False,False,True,0.01,999,stochastic,43.825939999999854,109.60478629209757,0.0,0.0,14.800107859358988,7.079060710109217
1c,pinn_no_fric,critic,False,False,True,0.05,42,deterministic,146.1856000000005,138.46748311657873,0.0,0.0,14.706387376885075,1.790568497340522
1c,pinn_no_fric,critic,False,False,True,0.05,42,stochastic,62.81167999999998,145.36836952204425,0.0,0.0,12.49494927027689,5.093263967092452
1c,pinn_no_fric,critic,False,False,True,0.05,123,deterministic,72.76184000000006,80.34956769077493,0.06,0.0,14.087923295839378,1.0152551330897817
1c,pinn_no_fric,critic,False,False,True,0.05,123,stochastic,56.11799999999998,138.50362136825163,0.0,0.0,17.725832474588277,4.252875887886446
1c,pinn_no_fric,critic,False,False,True,0.05,456,deterministic,212.1316600000013,163.7364528210648,0.0,0.0,12.87727663662016,4.030432782732049
1c,pinn_no_fric,critic,False,False,True,0.05,456,stochastic,93.3232600000004,134.76784293796678,0.0,0.0,13.934900596317027,5.863386899481502
1c,pinn_no_fric,critic,False,False,True,0.05,789,deterministic,221.67466000000212,167.11009971699758,0.0,0.0,13.046457933533725,4.5944669734827945
1c,pinn_no_fric,critic,False,False,True,0.05,789,stochastic,117.37766000000003,145.05436983967232,0.0,0.0,14.45825810972395,6.874181814408586
1c,pinn_no_fric,critic,False,False,True,0.05,999,deterministic,225.01274000000177,161.8612495788684,0.0,0.0,12.00631317433293,4.434552830442685
1c,pinn_no_fric,critic,False,False,True,0.05,999,stochastic,54.133259999999865,117.53023308967094,0.0,0.0,14.885772439650168,6.981301295862913
1c,pinn_no_fric,critic,False,False,True,0.1,42,deterministic,175.37204000000187,177.33575074834428,0.0,0.0,13.14980261236682,3.736607279502515
1c,pinn_no_fric,critic,False,False,True,0.1,42,stochastic,33.702040000000004,137.2080369487094,0.0,0.0,13.859102227862367,5.647844376094571
1c,pinn_no_fric,critic,False,False,True,0.1,123,deterministic,172.66095999999965,59.63281160735596,0.04,0.0,14.95728359286878,1.2530152785810997
1c,pinn_no_fric,critic,False,False,True,0.1,123,stochastic,101.97733999999986,184.08733218237563,0.0,0.0,20.758234483246216,4.363348255038228
1c,pinn_no_fric,critic,False,False,True,0.1,456,deterministic,229.8514000000022,144.24276309777335,0.0,0.0,13.333325132671666,4.124931259727587
1c,pinn_no_fric,critic,False,False,True,0.1,456,stochastic,-10.11602000000001,82.77158034264896,0.0,0.0,16.095061462387797,7.100286161206596
1c,pinn_no_fric,critic,False,False,True,0.1,789,deterministic,219.39252000000252,109.01868914241105,0.0,0.0,22.53650771424827,2.7163449739911023
1c,pinn_no_fric,critic,False,False,True,0.1,789,stochastic,91.57781999999999,127.41404741325665,0.0,0.0,13.721756255143623,7.031456386884401
1c,pinn_no_fric,critic,False,False,True,0.1,999,deterministic,233.3121800000025,148.1931898610327,0.0,0.0,11.930897297909068,4.38549012666056
1c,pinn_no_fric,critic,False,False,True,0.1,999,stochastic,134.39626000000052,142.8741900401627,0.0,0.0,13.215056801169167,6.020261138688255
1c,pinn_no_fric,critic,False,False,True,0.2,42,deterministic,156.74300000000028,123.35131052712839,0.0,0.0,10.724996314073696,1.5754054518246448
1c,pinn_no_fric,critic,False,False,True,0.2,42,stochastic,41.93052000000003,152.25425954005232,0.0,0.0,14.521677382477597,5.939196678808956
1c,pinn_no_fric,critic,False,False,True,0.2,123,deterministic,9.872299999999875,162.02965791906692,0.0,0.0,18.001062772981463,1.1395130397644069
1c,pinn_no_fric,critic,False,False,True,0.2,123,stochastic,99.86555999999997,178.44795168890673,0.0,0.0,21.564764442975598,4.837793445677686
1c,pinn_no_fric,critic,False,False,True,0.2,456,deterministic,-14.090359999999611,160.1565517779099,0.04,0.0,9.210031693995036,0.8538136016678218
1c,pinn_no_fric,critic,False,False,True,0.2,456,stochastic,73.77686,119.73306112181548,0.0,0.0,14.408185905157971,6.195912070006065
1c,pinn_no_fric,critic,False,False,True,0.2,789,deterministic,207.31128000000248,122.18268996171996,0.02,0.0,17.395016458822855,2.7255112605962704
1c,pinn_no_fric,critic,False,False,True,0.2,789,stochastic,72.97841999999997,120.45406961528363,0.0,0.0,14.937473099019705,7.226242845496731
1c,pinn_no_fric,critic,False,False,True,0.2,999,deterministic,214.91588000000056,117.29597933273651,0.0,0.0,12.693006085071245,3.1046174399034068
1c,pinn_no_fric,critic,False,False,True,0.2,999,stochastic,47.348100000000024,116.70501930461268,0.0,0.0,14.589325871141359,6.690268649997497
1c,pinn_no_fric,critic,False,False,True,0.5,42,deterministic,57.388780000001496,190.2748950470646,0.02,0.0,8.87526861876422,1.2910378259271158
1c,pinn_no_fric,critic,False,False,True,0.5,42,stochastic,106.99134000000015,182.4052470690042,0.0,0.0,12.38899789546521,4.452037041602798
1c,pinn_no_fric,critic,False,False,True,0.5,123,deterministic,114.24781999999966,63.31932370254445,0.12,0.0,13.14784958944895,1.0786157787207258
1c,pinn_no_fric,critic,False,False,True,0.5,123,stochastic,129.23141999999996,187.35582473401666,0.0,0.0,17.414627109603398,3.96570731097444
1c,pinn_no_fric,critic,False,False,True,0.5,456,deterministic,221.79896000000096,156.2231410727573,0.0,0.0,27.512493029690027,3.6053063897473856
