scenario,maneuver,method,lambda,metric,n,mean,ci_low,ci_high
1a,right_left,hjb_aux,1.0,SR,5,0.999,0.9976666666666667,1.0
1a,right_left,hjb_aux,1.0,CR,5,0.001,0.0,0.0023333333333333335
1a,right_left,hjb_aux,1.0,mean_return,5,405.37171466666666,387.8875153333334,430.10156933333326
1a,right_left,hjb_aux,1.0,mean_ttc,5,5.296812473883641,4.635367325961095,5.958257621806187
1a,right_left,soft_hjb_aux,0.01,SR,5,0.9986666666666666,0.9966666666666667,1.0
1a,right_left,soft_hjb_aux,0.01,CR,5,0.001,0.0,0.003
1a,right_left,soft_hjb_aux,0.01,mean_return,5,443.59321,386.58409,500.0686863333334
1a,right_left,soft_hjb_aux,0.01,mean_ttc,5,6.1148623546862675,4.918371917373657,7.233223685820237
1a,right_left,soft_hjb_aux,0.05,SR,5,0.9986666666666666,0.9973333333333333,1.0
1a,right_left,soft_hjb_aux,0.05,CR,5,0.0013333333333333335,0.0,0.002666666666666667
1a,right_left,soft_hjb_aux,0.05,mean_return,5,439.5493733333334,376.8231433333334,502.2756033333333
1a,right_left,soft_hjb_aux,0.05,mean_ttc,5,5.64243672451748,4.673319728530891,6.611553720504068
1a,right_left,soft_hjb_aux,0.1,SR,5,0.999,0.9970000000000001,1.0
1a,right_left,soft_hjb_aux,0.1,CR,5,0.001,0.0,0.003
1a,right_left,soft_hjb_aux,0.1,mean_return,5,439.080299,377.20133100000004,505.0455673333332
1a,right_left,soft_hjb_aux,0.1,mean_ttc,5,5.521616885598431,4.479249724176843,6.563984047020017
1a,right_left,soft_hjb_aux,0.2,SR,5,0.999,0.9970000000000001,1.0
1a,right_left,soft_hjb_aux,0.2,CR,5,0.001,0.0,0.003
1a,right_left,soft_hjb_aux,0.2,mean_return,5,426.9026186666667,379.7776426666667,480.5483703333333
1a,right_left,soft_hjb_aux,0.2,mean_ttc,5,5.367185847144027,4.428359571775211,6.370783666946683
1a,right_left,soft_hjb_aux,0.5,SR,5,0.9986666666666666,0.9959999999999999,1.0
1a,right_left,soft_hjb_aux,0.5,CR,5,0.0013333333333333335,0.0,0.004
1a,right_left,soft_hjb_aux,0.5,mean_return,5,430.36290400000007,377.864845,494.3555903333334
1a,right_left,soft_hjb_aux,0.5,mean_ttc,5,5.805937820781013,4.586189974846074,7.1262589726616365
1a,right_left,soft_hjb_aux,1.0,SR,5,1.0,1.0,1.0
1a,right_left,soft_hjb_aux,1.0,CR,5,0.0,0.0,0.0
1a,right_left,soft_hjb_aux,1.0,mean_return,5,517.4868676666667,498.86682433333334,536.0183330000002
1a,right_left,soft_hjb_aux,1.0,mean_ttc,5,7.356913911105936,7.125645437595243,7.631420153814128
1a,stem_right,cbf_aux,0.01,SR,5,0.9629999999999999,0.9476666666666667,0.9783333333333333
1a,stem_right,cbf_aux,0.01,CR,5,0.036333333333333336,0.020333333333333335,0.05233333333333334
1a,stem_right,cbf_aux,0.01,mean_return,5,407.1423196666666,396.7014943333333,418.68556499999994
1a,stem_right,cbf_aux,0.01,mean_ttc,5,6.2273169694419135,6.139750301374396,6.357744661636342
1a,stem_right,cbf_aux,0.05,SR,5,0.9566666666666667,0.946,0.9673333333333334
1a,stem_right,cbf_aux,0.05,CR,5,0.04333333333333333,0.03266666666666666,0.054000000000000006
1a,stem_right,cbf_aux,0.05,mean_return,5,396.17715499999997,389.1637576666666,402.6459979999999
1a,stem_right,cbf_aux,0.05,mean_ttc,5,6.311253399836739,6.06376900297162,6.695659217974709
1a,stem_right,cbf_aux,0.1,SR,5,0.952,0.946,0.9580000000000002
1a,stem_right,cbf_aux,0.1,CR,5,0.048,0.041999999999999996,0.054000000000000006
1a,stem_right,cbf_aux,0.1,mean_return,5,399.85161099999993,396.95128,402.77641800000004
1a,stem_right,cbf_aux,0.1,mean_ttc,5,6.154397807347255,6.093530975802132,6.222779638158364
1a,stem_right,cbf_aux,0.2,SR,5,0.942,0.924,0.9560000000000001
1a,stem_right,cbf_aux,0.2,CR,5,0.057999999999999996,0.044,0.07599999999999998
1a,stem_right,cbf_aux,0.2,mean_return,5,397.26105933333326,393.88432466666666,402.1631496666665
1a,stem_right,cbf_aux,0.2,mean_ttc,5,6.515028198584663,6.118820550043,7.238223028851816
1a,stem_right,cbf_aux,0.5,SR,5,0.9570000000000001,0.9486666666666667,0.9653333333333334
1a,stem_right,cbf_aux,0.5,CR,5,0.043000000000000003,0.034666666666666665,0.05133333333333334
1a,stem_right,cbf_aux,0.5,mean_return,5,399.44076099999995,397.66848799999997,401.21505191666665
1a,stem_right,cbf_aux,0.5,mean_ttc,5,6.1244377794783205,6.076164546647848,6.186191519507061
1a,stem_right,cbf_aux,1.0,SR,5,0.9663333333333334,0.9550000000000001,0.98035
1a,stem_right,cbf_aux,1.0,CR,5,0.033666666666666664,0.01965,0.045
1a,stem_right,cbf_aux,1.0,mean_return,5,404.93534299999993,398.6435996666666,414.38937733333324
1a,stem_right,cbf_aux,1.0,mean_ttc,5,6.134249760481799,6.081701065634687,6.212550225071195
1a,stem_right,eikonal_aux,0.01,SR,5,0.9416666666666667,0.8486666666666667,0.9996666666666666
1a,stem_right,eikonal_aux,0.01,CR,5,0.011666666666666665,0.0,0.034333333333333334
1a,stem_right,eikonal_aux,0.01,mean_return,5,482.8316586666666,438.67828199999997,521.1961523333332
1a,stem_right,eikonal_aux,0.01,mean_ttc,5,9.717373259283132,8.230608247790801,11.058053250255078
1a,stem_right,eikonal_aux,0.05,SR,5,0.9983333333333334,0.9970000000000001,0.9996666666666666
1a,stem_right,eikonal_aux,0.05,CR,5,0.0,0.0,0.0
1a,stem_right,eikonal_aux,0.05,mean_return,5,513.973018,500.8879566666666,528.4926166666667
1a,stem_right,eikonal_aux,0.05,mean_ttc,5,9.481385030990694,7.952991738457387,10.969700230823443
1a,stem_right,eikonal_aux,0.1,SR,5,0.982,0.9546666666666667,0.9976666666666667
1a,stem_right,eikonal_aux,0.1,CR,5,0.0036666666666666666,0.0016666666666666666,0.005333333333333334
1a,stem_right,eikonal_aux,0.1,mean_return,5,508.32664133333327,462.8960503333334,542.4980263333333
1a,stem_right,eikonal_aux,0.1,mean_ttc,5,8.488407742096296,7.571882537922915,9.922965552249064
1a,stem_right,eikonal_aux,0.2,SR,5,0.9846666666666668,0.9626666666666667,0.9986666666666666
1a,stem_right,eikonal_aux,0.2,CR,5,0.012,0.0,0.035333333333333335
1a,stem_right,eikonal_aux,0.2,mean_return,5,495.60655433333324,458.6394853333333,529.7594176666666
1a,stem_right,eikonal_aux,0.2,mean_ttc,5,9.051088763772068,7.728966954221326,10.49666671427349
1a,stem_right,eikonal_aux,0.5,SR,5,0.9933333333333332,0.9863333333333333,0.9996666666666666
1a,stem_right,eikonal_aux,0.5,CR,5,0.004666666666666667,0.0,0.01
1a,stem_right,eikonal_aux,0.5,mean_return,5,499.42626199999995,465.91747599999997,532.935048
1a,stem_right,eikonal_aux,0.5,mean_ttc,5,8.649478215986328,7.464156717144372,10.256407112985489
1a,stem_right,eikonal_aux,1.0,SR,5,0.99,0.9793333333333335,1.0
1a,stem_right,eikonal_aux,1.0,CR,5,0.004666666666666667,0.0,0.014000000000000002
1a,stem_right,eikonal_aux,1.0,mean_return,5,501.70758366666666,485.4679143333334,513.5014213333333
1a,stem_right,eikonal_aux,1.0,mean_ttc,5,8.81380651277932,7.388959955279644,10.257308402351327
1a,stem_right,fusion_aux,0.01,SR,5,0.9426666666666668,0.932,0.9523333333333334
1a,stem_right,fusion_aux,0.01,CR,5,0.05733333333333333,0.04766666666666666,0.06799999999999999
1a,stem_right,fusion_aux,0.01,mean_return,5,385.2751523333332,381.75284033333327,388.1871653333332
1a,stem_right,fusion_aux,0.01,mean_ttc,5,6.674789631432587,6.5814230405570955,6.761511556809308
1a,stem_right,fusion_aux,0.05,SR,5,0.916,0.8266499999999999,0.9766666666666666
1a,stem_right,fusion_aux,0.05,CR,5,0.040999999999999995,0.019666666666666666,0.056666666666666664
1a,stem_right,fusion_aux,0.05,mean_return,5,400.28069733333325,359.1900099999999,459.92256699999996
1a,stem_right,fusion_aux,0.05,mean_ttc,5,8.507292797938437,6.977245252736493,10.090282564440676
1a,stem_right,fusion_aux,0.1,SR,5,0.9706666666666667,0.9520000000000002,0.9893333333333334
1a,stem_right,fusion_aux,0.1,CR,5,0.020666666666666667,0.005,0.039
1a,stem_right,fusion_aux,0.1,mean_return,5,422.460829,393.5125993333333,455.49355047499927
1a,stem_right,fusion_aux,0.1,mean_ttc,5,7.3022889169712855,6.817815009687701,7.78676282425487
1a,stem_right,fusion_aux,0.2,SR,5,0.954,0.9339999999999999,0.975
1a,stem_right,fusion_aux,0.2,CR,5,0.046,0.025,0.066
1a,stem_right,fusion_aux,0.2,mean_return,5,399.8479066666666,372.15435166666657,428.55273066666666
1a,stem_right,fusion_aux,0.2,mean_ttc,5,8.743322973314122,7.03298293041145,10.849536723945896
1a,stem_right,fusion_aux,0.5,SR,5,0.9423333333333334,0.916,0.9646666666666667
1a,stem_right,fusion_aux,0.5,CR,5,0.04033333333333334,0.02733333333333333,0.05333333333333333
1a,stem_right,fusion_aux,0.5,mean_return,5,406.6768903333333,374.368477,438.98530366666665
1a,stem_right,fusion_aux,0.5,mean_ttc,5,9.180932508216332,8.199424272999426,10.277865546226952
1a,stem_right,fusion_aux,1.0,SR,5,0.9446666666666665,0.9333333333333333,0.9526666666666666
1a,stem_right,fusion_aux,1.0,CR,5,0.05399999999999999,0.04733333333333333,0.06533333333333333
1a,stem_right,fusion_aux,1.0,mean_return,5,379.7364759999999,375.2361096666666,384.6570013333333
1a,stem_right,fusion_aux,1.0,mean_ttc,5,8.702087750140441,8.31274828723322,9.17219559739023
1a,stem_right,hjb_aux,0.01,SR,5,0.969,0.9543333333333333,0.9866666666666667
1a,stem_right,hjb_aux,0.01,CR,5,0.031,0.013333333333333332,0.04566666666666667
1a,stem_right,hjb_aux,0.01,mean_return,5,409.9732596666666,395.19054966666664,433.5203498833332
1a,stem_right,hjb_aux,0.01,mean_ttc,5,6.152481875133324,6.072207359772754,6.2575842422005135
1a,stem_right,hjb_aux,0.05,SR,5,0.9566666666666667,0.9483333333333335,0.968
1a,stem_right,hjb_aux,0.05,CR,5,0.03933333333333334,0.02,0.05166666666666667
1a,stem_right,hjb_aux,0.05,mean_return,5,400.5272153333333,397.4023066666666,405.0000819999999
1a,stem_right,hjb_aux,0.05,mean_ttc,5,6.138256505006625,6.0832215858124,6.196627075614494
1a,stem_right,hjb_aux,0.1,SR,5,0.9526666666666668,0.9480000000000001,0.959
1a,stem_right,hjb_aux,0.1,CR,5,0.04733333333333334,0.041,0.052000000000000005
1a,stem_right,hjb_aux,0.1,mean_return,5,399.45688133333323,397.59212366666657,401.3216389999999
1a,stem_right,hjb_aux,0.1,mean_ttc,5,6.140830323765077,6.091767585432578,6.202603613759318
1a,stem_right,hjb_aux,0.2,SR,5,0.9546666666666667,0.9513333333333334,0.958
1a,stem_right,hjb_aux,0.2,CR,5,0.04533333333333334,0.041999999999999996,0.04866666666666667
1a,stem_right,hjb_aux,0.2,mean_return,5,399.3048406666666,396.02370766666667,402.0636973333332
1a,stem_right,hjb_aux,0.2,mean_ttc,5,6.194288602642146,6.097200983229974,6.347812220216751
1a,stem_right,hjb_aux,0.5,SR,5,0.9726666666666667,0.9629999999999999,0.9870000000000001
1a,stem_right,hjb_aux,0.5,CR,5,0.02733333333333333,0.013000000000000001,0.037
1a,stem_right,hjb_aux,0.5,mean_return,5,428.9765549999999,397.8498923333333,488.32756599999993
1a,stem_right,hjb_aux,0.5,mean_ttc,5,7.182493753225124,6.071470538456071,9.319168502173433
1a,stem_right,hjb_aux,1.0,SR,5,0.96,0.9486666666666667,0.974
1a,stem_right,hjb_aux,1.0,CR,5,0.039999999999999994,0.026000000000000002,0.05133333333333333
1a,stem_right,hjb_aux,1.0,mean_return,5,404.66819366666664,396.19969066666664,416.6721756666666
1a,stem_right,hjb_aux,1.0,mean_ttc,5,6.16541744496015,6.091868186390215,6.226831984080899
1a,stem_right,soft_hjb_aux,0.01,SR,5,0.9486666666666667,0.9443333333333334,0.954
1a,stem_right,soft_hjb_aux,0.01,CR,5,0.05133333333333333,0.046,0.05566666666666668
1a,stem_right,soft_hjb_aux,0.01,mean_return,5,385.72914266666663,384.56518299999993,386.84153466666663
1a,stem_right,soft_hjb_aux,0.01,mean_ttc,5,6.698913647712923,6.498476215265501,6.899351080160346
1a,stem_right,soft_hjb_aux,0.05,SR,5,0.9533333333333334,0.9463333333333332,0.9603333333333334
1a,stem_right,soft_hjb_aux,0.05,CR,5,0.046666666666666676,0.03966666666666667,0.05366666666666666
1a,stem_right,soft_hjb_aux,0.05,mean_return,5,387.6544956666666,383.9619616666666,391.6722699999999
1a,stem_right,soft_hjb_aux,0.05,mean_ttc,5,6.4301738762410725,6.3979250220207735,6.466364373820026
1a,stem_right,soft_hjb_aux,0.1,SR,5,0.958,0.9473333333333332,0.9706666666666667
1a,stem_right,soft_hjb_aux,0.1,CR,5,0.04033333333333334,0.024333333333333335,0.05266666666666666
1a,stem_right,soft_hjb_aux,0.1,mean_return,5,402.1014953333333,384.65701699999994,435.6675143333332
1a,stem_right,soft_hjb_aux,0.1,mean_ttc,5,6.793204564881412,6.45341300626089,7.16449915242392
1a,stem_right,soft_hjb_aux,0.2,SR,5,0.9530000000000001,0.9433333333333334,0.9620166666666666
1a,stem_right,soft_hjb_aux,0.2,CR,5,0.047,0.03798333333333333,0.056666666666666664
1a,stem_right,soft_hjb_aux,0.2,mean_return,5,386.93735966666657,382.6541173333332,390.22538333333324
1a,stem_right,soft_hjb_aux,0.2,mean_ttc,5,6.5209226958558855,6.409142977203514,6.632702414508256
1a,stem_right,soft_hjb_aux,0.5,SR,5,0.9553333333333333,0.9436666666666668,0.967
1a,stem_right,soft_hjb_aux,0.5,CR,5,0.04466666666666667,0.033,0.05633333333333333
1a,stem_right,soft_hjb_aux,0.5,mean_return,5,387.66871133333325,381.18254233333323,396.50120504166654
1a,stem_right,soft_hjb_aux,0.5,mean_ttc,5,6.815958779212873,6.496255642557486,7.208767321633028
1a,stem_right,soft_hjb_aux,1.0,SR,5,0.9640000000000001,0.9503333333333334,0.9819999999999999
1a,stem_right,soft_hjb_aux,1.0,CR,5,0.036000000000000004,0.018,0.04966666666666667
1a,stem_right,soft_hjb_aux,1.0,mean_return,5,408.9091786666666,384.9040716666666,451.9792859999999
1a,stem_right,soft_hjb_aux,1.0,mean_ttc,5,7.050794513228476,6.82277097476788,7.290787700890689
2_dense,right_left,cbf_aux,0.01,SR,5,0.25966666666666666,0.041,0.632
2_dense,right_left,cbf_aux,0.01,CR,5,0.0013333333333333335,0.0,0.004
2_dense,right_left,cbf_aux,0.01,mean_return,5,104.58885600000005,44.86606430000005,209.88743669999982
2_dense,right_left,cbf_aux,0.01,mean_ttc,5,9.882471653884286,6.728665310213218,12.560507200277378
2_dense,right_left,cbf_aux,0.05,SR,5,0.557,0.16933333333333336,0.9436666666666668
2_dense,right_left,cbf_aux,0.05,CR,5,0.0006666666666666668,0.0,0.002
2_dense,right_left,cbf_aux,0.05,mean_return,5,176.06610066666676,73.14110700000019,277.64666966666664
2_dense,right_left,cbf_aux,0.05,mean_ttc,5,8.61006364310605,4.917268531904241,12.383704646026093
2_dense,right_left,cbf_aux,0.1,SR,5,0.30433333333333334,0.035333333333333335,0.6769999999999999
2_dense,right_left,cbf_aux,0.1,CR,5,0.0,0.0,0.0
2_dense,right_left,cbf_aux,0.1,mean_return,5,105.23944100000003,47.972780666666736,190.42945966666667
2_dense,right_left,cbf_aux,0.1,mean_ttc,5,8.750420468739875,6.189545432054435,10.756092046331563
2_dense,right_left,cbf_aux,0.2,SR,5,0.10400000000000001,0.041666666666666664,0.168
2_dense,right_left,cbf_aux,0.2,CR,5,0.0,0.0,0.0
2_dense,right_left,cbf_aux,0.2,mean_return,5,55.49829833333342,45.17343933333348,69.17441226666669
2_dense,right_left,cbf_aux,0.2,mean_ttc,5,11.241106495081814,8.990143549033485,13.897233225519441
2_dense,right_left,cbf_aux,0.5,SR,5,0.5406666666666667,0.23466666666666666,0.8466666666666667
2_dense,right_left,cbf_aux,0.5,CR,5,0.0003333333333333334,0.0,0.001
2_dense,right_left,cbf_aux,0.5,mean_return,5,179.20640633333343,102.35915700000021,265.78047733333335
2_dense,right_left,cbf_aux,0.5,mean_ttc,5,8.055802167036592,6.214946448934546,10.004482991341689
2_dense,right_left,cbf_aux,1.0,SR,5,0.19633333333333333,0.055999999999999994,0.3666666666666667
2_dense,right_left,cbf_aux,1.0,CR,5,0.0,0.0,0.0
2_dense,right_left,cbf_aux,1.0,mean_return,5,76.76414066666675,53.17423100000009,116.23037000000004
2_dense,right_left,cbf_aux,1.0,mean_ttc,5,11.644528743947024,9.879965809566992,13.58406345595886
2_dense,right_left,eikonal_aux,0.01,SR,5,0.14266666666666666,0.06433333333333333,0.25866666666666666
2_dense,right_left,eikonal_aux,0.01,CR,5,0.0,0.0,0.0
2_dense,right_left,eikonal_aux,0.01,mean_return,5,54.87930733333328,31.381791999999912,90.39690999999999
2_dense,right_left,eikonal_aux,0.01,mean_ttc,5,11.17963035671229,10.54595686837601,11.833468243489571
2_dense,right_left,eikonal_aux,0.05,SR,5,0.08499999999999999,0.012,0.183
2_dense,right_left,eikonal_aux,0.05,CR,5,0.0,0.0,0.0
2_dense,right_left,eikonal_aux,0.05,mean_return,5,34.720491333333335,10.050500333333318,64.66970500000001
2_dense,right_left,eikonal_aux,0.05,mean_ttc,5,12.31934702774235,10.364719695114701,14.861939842544956
2_dense,right_left,eikonal_aux,0.1,SR,5,0.11099999999999999,0.030666666666666665,0.19133333333333333
