method,scenario,maneuver,seed,machine,intent,n_iters,window_iters,residual_early,residual_late,residual_ratio,distill_early,distill_late
hjb_aux,2_dense,right_left,2222,cmu7,False,98,10,76.61572299,463.55358624,6.050371,2.91584815,52.00522556
hjb_aux,2_dense,right_left,3333,cmu7,True,98,10,265.5927151,22.75162934,0.085664,5.71112794,47.1076622
hjb_aux,2_dense,right_left,3333,cmu7,False,98,10,421.74336481,2955.96428261,7.008917,6.13110503,142.49142609
hjb_aux,2_dense,right_left,4444,cmu7,True,98,10,220.18544572,191.16016964,0.868178,6.26061188,130.31872864
hjb_aux,2_dense,right_left,4444,cmu7,False,98,10,66.17836118,89.14495658,1.347041,8.25979447,62.06270123
hjb_aux,2_dense,right_left,5555,babel-w5-32,True,98,10,67.26832099,905.95880361,13.467837,7.15769129,34.64145374
hjb_aux,2_dense,right_left,5555,cmu7,False,98,10,49.12926323,795.36618754,16.189255,4.39373076,38.42156353
hjb_aux,3,left_right,42,babel-x5-20,True,98,10,134.40139961,14.04571633,0.104506,29.36797272,54.66607666
hjb_aux,3,left_right,42,cmu6_p2,False,98,10,78.54159389,866.42512223,11.031418,32.47636094,35.27437906
hjb_aux,3,left_right,123,cmu6_p2,True,98,10,52.95396086,15.86713791,0.29964,51.52885432,32.61871195
hjb_aux,3,left_right,123,cmu6_p2,False,98,10,269.79429382,319.3643047,1.183733,97.49185305,32.29937553
hjb_aux,3,left_right,456,cmu6_p2,True,98,10,84.50143402,2598.31234472,30.748737,33.03841265,28.27077026
hjb_aux,3,left_right,456,cmu6_p2,False,98,10,667.74748565,1351.26321228,2.023614,21.87330176,31.58305855
hjb_aux,3,left_right,789,babel-x5-20,True,98,10,74.25602104,6061.32176985,81.627344,52.3698118,65.57539082
hjb_aux,3,left_right,789,cmu6_p2,False,98,10,174.38263743,8452.3708759,48.470255,71.87039597,50.36365871
hjb_aux,3,left_right,999,cmu6_p2,True,98,10,705.49105854,93.22705342,0.132145,4.96116701,26.79302502
hjb_aux,3,left_right,999,cmu6_p2,False,98,10,135.17015523,229.12703877,1.695101,68.52565646,31.39949055
hjb_aux,3,left_right,1111,cmu6_p2,True,98,10,92.80417077,994.57904122,10.716965,25.4163153,35.46125984
hjb_aux,3,left_right,1111,cmu6_p2,False,98,10,547.25115919,1135.42255977,2.074774,138.80827782,52.48491383
hjb_aux,3,left_right,2222,babel-x5-20,True,98,10,53.28976814,6623.2964718,124.288333,22.17570382,37.43898029
hjb_aux,3,left_right,2222,cmu6_p2,False,98,10,770.28267919,568.0548911,0.737463,18.92439162,27.25432835
hjb_aux,3,left_right,3333,cmu6_p2,True,98,10,183.13393104,2752.1074579,15.02784,16.4268149,34.424646
hjb_aux,3,left_right,3333,cmu6_p2,False,98,10,171.72521025,328.45541763,1.91268,29.39788996,34.00383453
hjb_aux,3,left_right,4444,cmu6_p2,True,98,10,297.35480839,4726.92641832,15.896586,43.283013,30.33421383
hjb_aux,3,left_right,4444,cmu6_p2,False,98,10,1264.17031032,423.99950698,0.335397,39.49430223,38.15111752
hjb_aux,3,left_right,5555,cmu6_p2,True,98,10,332.34272608,41.72813436,0.125558,33.84517295,36.47713356
hjb_aux,3,left_right,5555,cmu6_p2,False,98,10,144.59364031,2722.09765591,18.825846,66.19176074,38.37383842
hjb_aux,3,right_left,42,babel-x5-20,True,98,10,75.39730161,1.97671202,0.026217,18.44873013,158.62353058
hjb_aux,3,right_left,42,cmu6_p2,False,98,10,259.42513238,510.78336362,1.968905,3.13323911,122.17740707
hjb_aux,3,right_left,123,babel-x5-20,True,98,10,66.9985622,371.60574396,5.546473,3.97291084,89.73060074
hjb_aux,3,right_left,123,cmu6_p2,False,98,10,127.10584908,1055.22717495,8.301956,11.59419346,156.53077087
hjb_aux,3,right_left,456,cmu6_p2,True,98,10,33.13611702,503.64345874,15.19923,6.44684923,140.79924927
hjb_aux,3,right_left,456,cmu6_p2,False,98,10,529.93919179,1326.37358117,2.502879,5.500476,131.62366714
hjb_aux,3,right_left,789,babel-x5-20,True,98,10,435.38406047,2219.38574214,5.097536,5.71173874,36.58706837
hjb_aux,3,right_left,789,cmu6_p2,False,98,10,231.03687437,49.57682103,0.214584,11.48888969,51.35880747
hjb_aux,3,right_left,999,babel-x5-20,True,98,10,92.15492106,1598.50819179,17.34588,8.58741229,146.2634819
hjb_aux,3,right_left,999,cmu6_p2,False,98,10,312.03645382,4.63527144,0.014855,6.39090487,134.76481018
hjb_aux,3,right_left,1111,babel-x5-20,True,98,10,78.08057978,349.14873658,4.471646,4.79720801,66.41080437
hjb_aux,3,right_left,1111,cmu6_p2,False,98,10,193.61337943,331.10972787,1.710159,11.82767067,161.56590652
hjb_aux,3,right_left,2222,babel-x5-20,True,98,10,269.6822804,1.46798711,0.005443,3.55394851,26.0442317
hjb_aux,3,right_left,2222,cmu6_p2,False,98,10,717.64985063,960.36943595,1.338214,3.72862539,118.61583176
hjb_aux,3,right_left,3333,babel-x5-20,True,98,10,244.60201673,36.89995935,0.150857,2.50253946,150.17501907
hjb_aux,3,right_left,3333,cmu6_p2,False,98,10,218.54088632,1.41826427,0.00649,9.77254574,15.84038954
hjb_aux,3,right_left,4444,babel-x5-20,True,98,10,188.84437661,16.08508445,0.085176,10.83195919,102.80334129
hjb_aux,3,right_left,4444,cmu6_p2,False,98,10,142.48712046,80.83304794,0.567301,6.97690316,211.30995827
hjb_aux,3,right_left,5555,babel-x5-20,True,98,10,89.39040879,775.60519161,8.676604,2.17497117,101.09063797
hjb_aux,3,right_left,5555,cmu6_p2,False,98,10,155.88176132,435.28463737,2.792403,6.36605552,53.76313667
hjb_aux,4,stem_left,42,babel-x5-20,True,98,10,959.28616345,174.05435375,0.181442,32.79981112,165.76363831
hjb_aux,4,stem_left,42,cmu6_p2,False,98,10,18.90964928,18978.83663291,1003.658839,23.86889462,126.65605621
hjb_aux,4,stem_left,123,cmu6_p2,True,98,10,140.34061139,1320.588081,9.409878,6.99086552,69.42553444
hjb_aux,4,stem_left,123,cmu6_p2,False,98,10,498.12002565,16317.7559736,32.758683,28.88185498,211.87055206
hjb_aux,4,stem_left,456,babel-x5-20,True,98,10,8559.33095742,847.34508902,0.098997,29.88083931,177.74528351
hjb_aux,4,stem_left,456,cmu6_p2,False,98,10,495.01810266,4506.07040265,9.10284,16.46957786,52.86856537
hjb_aux,4,stem_left,789,babel-x5-20,True,98,10,937.08745079,13544.37924517,14.453698,13.77369309,204.67748566
hjb_aux,4,stem_left,789,cmu6_p2,False,98,10,2562.18866398,1715.13098726,0.669401,33.23578972,206.10252991
hjb_aux,4,stem_left,999,babel-x5-20,True,98,10,3125.68542057,1234.30908767,0.394892,28.07179042,142.90365906
hjb_aux,4,stem_left,999,cmu6_p2,False,98,10,523.35229118,4277.88716824,8.174011,13.62721498,206.51891785
hjb_aux,4,stem_left,1111,babel-x5-20,True,98,10,361.15573853,81.63323528,0.226033,14.30003746,129.30368958
hjb_aux,4,stem_left,1111,cmu6_p2,False,98,10,487.41030676,590.74253609,1.212003,21.4147391,166.89214325
hjb_aux,4,stem_left,2222,babel-x5-20,True,98,10,27.66048672,3245.65230263,117.338944,5.79216408,163.79785309
hjb_aux,4,stem_left,2222,cmu6_p2,False,98,10,9.93303305,292.23062593,29.42008,14.34764105,94.84547844
hjb_aux,4,stem_left,3333,babel-x5-20,True,98,10,237.80348292,673.5379063,2.83233,3.60491525,185.19823532
hjb_aux,4,stem_left,3333,cmu6_p2,False,98,10,3572.67987755,44721.2529289,12.517565,26.53444352,183.99862823
hjb_aux,4,stem_left,4444,cmu6_p2,True,98,10,474.94754157,25266.20367153,53.197883,17.83927416,245.38796844
hjb_aux,4,stem_left,4444,cmu6_p2,False,98,10,453.89935526,55360.01053109,121.965387,14.14428821,306.89814301
hjb_aux,4,stem_left,5555,cmu6_p2,True,98,10,1153.85280779,1646.59177958,1.427038,6.21997486,183.25627975
hjb_aux,4,stem_left,5555,cmu6_p2,False,98,10,656.38381115,2117.20399108,3.225558,12.2933628,95.15395699
hjb_aux,4,stem_right,42,cmu6_p2,True,98,10,376.83959256,15493.20663581,41.113532,19.86408279,111.04189529
hjb_aux,4,stem_right,42,cmu6_p2,False,98,10,193.14367931,2428.03236754,12.57112,8.97732437,119.43997192
hjb_aux,4,stem_right,123,cmu6_p2,True,98,10,194.32849245,1892.80590016,9.740239,10.33897939,103.40658112
hjb_aux,4,stem_right,123,cmu6_p2,False,98,10,70.05757089,5267.5114868,75.188326,21.60940955,99.76513824
hjb_aux,4,stem_right,456,cmu6_p2,True,98,10,218.79269488,7796.57085685,35.634512,12.57340565,97.53555965
hjb_aux,4,stem_right,456,cmu6_p2,False,98,10,179.74667597,636.5755301,3.541515,17.88958519,98.18977127
hjb_aux,4,stem_right,789,cmu6_p2,True,98,10,68.56450888,2124.18540425,30.98083,11.4961295,120.84740105
hjb_aux,4,stem_right,789,cmu6_p2,False,98,10,529.20686201,217.19067713,0.410408,19.83395831,86.0614975
hjb_aux,4,stem_right,999,cmu6_p2,True,98,10,467.86162132,524.35593945,1.12075,23.42984669,94.00609932
