scenario,maneuver,method,weights,metric,n,mean,ci_low,ci_high
2_dense,stem_right,fusion_aux,w1.0_1.0,SR,5,0.04566666666666667,0.035333333333333335,0.06001666666666657
2_dense,stem_right,fusion_aux,w1.0_1.0,CR,5,0.406,0.33099999999999996,0.4873916666666663
2_dense,stem_right,fusion_aux,w1.0_1.0,mean_return,5,43.99279999999993,33.54190033333328,55.73495866666654
2_dense,stem_right,fusion_aux,w1.0_2.0,SR,5,0.07033333333333333,0.044333333333333336,0.08733333333333333
2_dense,stem_right,fusion_aux,w1.0_2.0,CR,5,0.43200000000000005,0.3243333333333333,0.5396666666666667
2_dense,stem_right,fusion_aux,w1.0_2.0,mean_return,5,60.32641533333331,58.883521999999985,61.99211261666661
2_dense,stem_right,fusion_aux,w1.0_3.0,SR,5,0.05500000000000001,0.037333333333333336,0.07233333333333333
2_dense,stem_right,fusion_aux,w1.0_3.0,CR,5,0.33999999999999997,0.253,0.44766666666666666
2_dense,stem_right,fusion_aux,w1.0_3.0,mean_return,5,63.961054666666584,55.214261333333255,72.70784799999996
2_dense,stem_right,fusion_aux,w2.0_1.0,SR,5,0.059,0.04766666666666666,0.071
2_dense,stem_right,fusion_aux,w2.0_1.0,CR,5,0.4003333333333334,0.3456666666666667,0.4573333333333333
2_dense,stem_right,fusion_aux,w2.0_1.0,mean_return,5,47.19972133333328,35.32761999999996,56.00765099999995
2_dense,stem_right,fusion_aux,w3.0_1.0,SR,5,0.05233333333333334,0.03733333333333334,0.06733333333333333
2_dense,stem_right,fusion_aux,w3.0_1.0,CR,5,0.33799999999999997,0.23766666666666664,0.4383333333333333
2_dense,stem_right,fusion_aux,w3.0_1.0,mean_return,5,48.54605099999995,31.27247433333336,61.506115274999864
