scenario,maneuver,method,occ_setting,metric,n,mean,ci_low,ci_high,raw_p_welch_on_vs_off,corrected_p_welch,marker
3,stem_right,eikonal_aux,occOFF,mean_return,5,168.46648133333332,152.95139999999998,183.9665443333333,0.02839674489170879,1.0,ns
3,stem_right,fusion_aux,occON,SR,5,0.2896666666666667,0.191,0.35533333333333333,0.8190441250781781,1.0,ns
3,stem_right,fusion_aux,occOFF,SR,5,0.2756666666666666,0.21933333333333332,0.3313333333333333,0.8190441250781781,1.0,ns
3,stem_right,fusion_aux,occON,CR,5,0.29200000000000004,0.1913333333333333,0.3756666666666667,0.7832138395975096,1.0,ns
3,stem_right,fusion_aux,occOFF,CR,5,0.27199999999999996,0.2003333333333333,0.34500000000000003,0.7832138395975096,1.0,ns
3,stem_right,fusion_aux,occON,mean_return,5,136.17873033333336,107.05713866666665,154.18082099999998,0.5762591552203906,1.0,ns
3,stem_right,fusion_aux,occOFF,mean_return,5,147.14804666666663,126.26812666666667,168.0279666666666,0.5762591552203906,1.0,ns
3,stem_right,hjb_aux,occON,SR,5,0.3963333333333333,0.35,0.43,0.864987616516484,1.0,ns
3,stem_right,hjb_aux,occOFF,SR,5,0.40099999999999997,0.3796666666666667,0.4206666666666667,0.864987616516484,1.0,ns
3,stem_right,hjb_aux,occON,CR,5,0.3143333333333333,0.23399999999999999,0.39,0.9124503882685363,1.0,ns
3,stem_right,hjb_aux,occOFF,CR,5,0.32333333333333336,0.21493333333333328,0.43166666666666664,0.9124503882685363,1.0,ns
3,stem_right,hjb_aux,occON,mean_return,5,173.55698433333336,166.2404679333334,181.687527,0.7240029746713301,1.0,ns
3,stem_right,hjb_aux,occOFF,mean_return,5,176.05418766666662,166.99900333333326,184.750474,0.7240029746713301,1.0,ns
3,stem_right,soft_hjb_aux,occON,SR,5,0.32166666666666666,0.30233333333333334,0.34503333333333325,0.91403741592354,1.0,ns
3,stem_right,soft_hjb_aux,occOFF,SR,5,0.32333333333333336,0.3106666666666667,0.3363416666666666,0.91403741592354,1.0,ns
3,stem_right,soft_hjb_aux,occON,CR,5,0.315,0.27660833333333334,0.36333333333333334,0.7679419018233448,1.0,ns
3,stem_right,soft_hjb_aux,occOFF,CR,5,0.3293333333333333,0.24966666666666665,0.37333333333333335,0.7679419018233448,1.0,ns
3,stem_right,soft_hjb_aux,occON,mean_return,5,127.52067533333334,116.87926533333334,138.4546466666667,0.3363278532552991,1.0,ns
3,stem_right,soft_hjb_aux,occOFF,mean_return,5,118.670597,107.75520933333334,128.6387305416667,0.3363278532552991,1.0,ns
