scenario,maneuver,method,metric,n,mean,ci_low,ci_high
3_dense,stem_right,eikonal_aux,SR,5,0.09066666666666667,0.028666666666666667,0.16666666666666669
3_dense,stem_right,eikonal_aux,CR,5,0.3396666666666667,0.2816666666666666,0.39766666666666667
3_dense,stem_right,eikonal_aux,mean_return,5,82.21890933333331,67.0717263333333,99.22189533333332
3_dense,stem_right,eikonal_aux,mean_ttc,5,9.267663243406249,8.53941670582812,9.994986635542327
3_dense,stem_right,hjb_aux,SR,5,0.14099999999999996,0.05366666666666666,0.229
3_dense,stem_right,hjb_aux,CR,5,0.4096666666666667,0.3136666666666667,0.5186666666666666
3_dense,stem_right,hjb_aux,mean_return,5,86.42352333333336,71.0142943333334,105.90491999999999
3_dense,stem_right,hjb_aux,mean_ttc,5,7.229786885115497,6.269020395417062,8.606949995029137
3_dense,stem_right,soft_hjb_aux,SR,5,0.07,0.05533333333333333,0.08466666666666667
3_dense,stem_right,soft_hjb_aux,CR,5,0.4083333333333333,0.35364166666666663,0.44766666666666666
3_dense,stem_right,soft_hjb_aux,mean_return,5,48.844458333333336,32.203639333333356,66.24348466666662
3_dense,stem_right,soft_hjb_aux,mean_ttc,5,6.882764167877619,6.382398066148882,7.397189794423345
4_dense,stem_right,cbf_aux,SR,5,0.11366666666666667,0.053000000000000005,0.182
4_dense,stem_right,cbf_aux,CR,5,0.327,0.25966666666666666,0.3863333333333333
4_dense,stem_right,cbf_aux,mean_return,5,86.00804966666666,65.09785300000004,106.91824633333329
4_dense,stem_right,cbf_aux,mean_ttc,5,8.267165293176427,6.968519153569224,9.8186896335217
4_dense,stem_right,drppo,SR,5,0.16466666666666668,0.09666666666666665,0.23266666666666666
4_dense,stem_right,drppo,CR,5,0.42300000000000004,0.29566666666666663,0.5343333333333333
4_dense,stem_right,drppo,mean_return,5,105.81927499999999,89.98118333333335,122.30255466666662
4_dense,stem_right,drppo,mean_ttc,5,7.3544293891411,6.1416944313346,8.279506960864984
4_dense,stem_right,eikonal_aux,SR,5,0.06033333333333333,0.03166666666666667,0.089
4_dense,stem_right,eikonal_aux,CR,5,0.41600000000000004,0.35266666666666663,0.4843333333333334
4_dense,stem_right,eikonal_aux,mean_return,5,57.36115500000003,39.07200466666666,72.98860366666672
4_dense,stem_right,eikonal_aux,mean_ttc,5,7.161925370441111,6.597513242313035,7.8061953880004324
4_dense,stem_right,hjb_aux,SR,5,0.16799999999999998,0.10333333333333335,0.22133333333333333
4_dense,stem_right,hjb_aux,CR,5,0.421,0.3696666666666667,0.4653333333333333
4_dense,stem_right,hjb_aux,mean_return,5,81.60845000000003,67.36244000000008,95.85445999999999
4_dense,stem_right,hjb_aux,mean_ttc,5,6.510916069167561,5.754697836068452,7.322061215081092
4_dense,stem_right,soft_hjb_aux,SR,5,0.09166666666666667,0.06366666666666668,0.12938333333333304
4_dense,stem_right,soft_hjb_aux,CR,5,0.3963333333333333,0.292,0.5006666666666667
4_dense,stem_right,soft_hjb_aux,mean_return,5,58.61920166666666,43.63844700000003,69.87029440833327
4_dense,stem_right,soft_hjb_aux,mean_ttc,5,6.214417930097256,5.813143222426361,6.601406795749652
