scenario,maneuver,method,metric,n_intent,n_nointent,intent_mean,intent_ci_low,intent_ci_high,nointent_mean,nointent_ci_low,nointent_ci_high,delta,cohens_d,raw_p_welch,corrected_p_welch,significant_welch,marker_welch
1b,stem_left,drppo,mean_return,10,10,329.129975,276.652085,381.929881,358.682563,317.942906,397.660759,-29.552588,-0.3592,0.4331396424334104,1.0,False,ns
1b,stem_left,eikonal_aux,success_rate,10,10,0.103167,0.051488,0.166008,0.102,0.064158,0.149671,0.001167,0.0132,0.9768493819249745,1.0,False,ns
1b,stem_left,eikonal_aux,collision_rate,10,10,0.261667,0.210667,0.311008,0.261833,0.235154,0.288846,-0.000167,-0.0024,0.995882148074426,1.0,False,ns
1b,stem_left,eikonal_aux,mean_return,10,10,144.51515,129.740932,165.293144,144.397976,136.384826,153.825524,0.117173,0.0047,0.9918554987415877,1.0,False,ns
1b,stem_left,fusion_aux,success_rate,10,10,0.258167,0.194496,0.321671,0.225667,0.157662,0.301504,0.0325,0.2711,0.552154614242758,1.0,False,ns
1b,stem_left,fusion_aux,collision_rate,10,10,0.1695,0.142,0.197354,0.207333,0.167,0.258512,-0.037833,-0.5564,0.2330734495444128,1.0,False,ns
1b,stem_left,fusion_aux,mean_return,10,10,180.523227,169.6292,193.937184,175.217765,154.985651,195.610107,5.305462,0.1798,0.6935287581512997,1.0,False,ns
1b,stem_left,hjb_aux,success_rate,10,9,0.676833,0.431,0.910533,0.794074,0.586296,0.999449,-0.117241,-0.3083,0.5051256585015758,1.0,False,ns
1b,stem_left,hjb_aux,collision_rate,10,9,0.106333,0.030654,0.1915,0.069815,0.0,0.13963,0.036519,0.2857,0.5362483383365908,1.0,False,ns
1b,stem_left,hjb_aux,mean_return,10,9,319.099194,249.072438,386.177322,354.002176,294.549625,413.168625,-34.902982,-0.3271,0.4798635178225943,1.0,False,ns
1b,stem_left,rule_based,success_rate,7,10,0.774762,0.755238,0.794286,0.766333,0.747325,0.785,0.008429,0.273,nan,nan,False,desc
1b,stem_left,rule_based,collision_rate,7,10,0.225238,0.205714,0.244762,0.233667,0.215,0.252675,-0.008429,-0.273,nan,nan,False,desc
1b,stem_left,rule_based,mean_return,7,10,330.929109,324.132306,337.79964,328.267089,322.025503,334.500823,2.662019,0.255,nan,nan,False,desc
