scenario,maneuver,method,behavior,metric,n,mean,ci_low,ci_high
1b,stem_right,drppo,nominal,mean_ttc,5,6.5621457656067665,5.944841005715127,7.219520910688192
1b,stem_right,eikonal_aux,nominal,SR,5,0.0,0.0,0.0
1b,stem_right,eikonal_aux,nominal,CR,5,0.46033333333333337,0.35600000000000004,0.5509999999999999
1b,stem_right,eikonal_aux,nominal,mean_return,5,110.05829833333374,90.63576499999994,123.03396166666744
1b,stem_right,eikonal_aux,nominal,mean_ttc,5,10.960178376147118,10.121083179487083,12.158742417998166
1b,stem_right,hjb_aux,nominal,SR,5,0.0,0.0,0.0
1b,stem_right,hjb_aux,nominal,CR,5,0.7643333333333333,0.7033333333333333,0.8290000000000001
1b,stem_right,hjb_aux,nominal,mean_return,5,144.6582750000012,134.61673333333448,153.0285866666681
1b,stem_right,hjb_aux,nominal,mean_ttc,5,7.336308681659967,6.8513722054029715,8.130628360327806
1b,stem_right,soft_hjb_aux,nominal,SR,5,0.0003333333333333334,0.0,0.001
1b,stem_right,soft_hjb_aux,nominal,CR,5,0.6050000000000001,0.556,0.6609999999999999
1b,stem_right,soft_hjb_aux,nominal,mean_return,5,103.11107500000028,88.55497500000011,118.32505166666708
1b,stem_right,soft_hjb_aux,nominal,mean_ttc,5,9.275627172534422,8.166474907003344,10.384779438065497
2,stem_right,cbf_aux,nominal,SR,5,0.0023333333333333335,0.0,0.007000000000000001
2,stem_right,cbf_aux,nominal,CR,5,0.23500000000000001,0.12933333333333336,0.3556666666666667
2,stem_right,cbf_aux,nominal,mean_return,5,90.07103333333276,79.14887833333293,100.60205333333252
2,stem_right,cbf_aux,nominal,mean_ttc,5,11.370296163971409,8.758276745481496,13.567212416122619
2,stem_right,drppo,nominal,SR,5,0.0003333333333333334,0.0,0.001
2,stem_right,drppo,nominal,CR,5,0.23533333333333334,0.15033333333333335,0.3206666666666667
2,stem_right,drppo,nominal,mean_return,5,94.09064499999953,89.08872499999934,99.09256499999972
2,stem_right,drppo,nominal,mean_ttc,5,10.098944199544093,8.082956467739566,12.114931931348618
2,stem_right,eikonal_aux,nominal,SR,5,0.007666666666666666,0.002,0.017333333333333333
2,stem_right,eikonal_aux,nominal,CR,5,0.38533333333333336,0.32199999999999995,0.458
2,stem_right,eikonal_aux,nominal,mean_return,5,64.82054866666631,57.45949699999964,70.96994233333305
2,stem_right,eikonal_aux,nominal,mean_ttc,5,8.753770969653697,8.061195125623026,9.360289942647238
2,stem_right,hjb_aux,nominal,SR,5,0.0003333333333333334,0.0,0.001
2,stem_right,hjb_aux,nominal,CR,5,0.262,0.16066666666666668,0.38566666666666666
2,stem_right,hjb_aux,nominal,mean_return,5,91.2586199999995,84.29081499999945,98.22642499999952
2,stem_right,hjb_aux,nominal,mean_ttc,5,10.42563868321122,7.977733965195711,12.87354340122673
2,stem_right,soft_hjb_aux,nominal,SR,5,0.014000000000000002,0.01,0.018
2,stem_right,soft_hjb_aux,nominal,CR,5,0.445,0.36733333333333335,0.532
2,stem_right,soft_hjb_aux,nominal,mean_return,5,45.24128166666635,26.866568624999744,62.64489833333296
2,stem_right,soft_hjb_aux,nominal,mean_ttc,5,7.687622542425541,7.305348355647567,8.233140565747316
4,stem_right,cbf_aux,nominal,SR,5,0.012333333333333332,0.0036666666666666666,0.02733333333333333
4,stem_right,cbf_aux,nominal,CR,5,0.3166666666666667,0.28930833333333333,0.3496666666666666
4,stem_right,cbf_aux,nominal,mean_return,5,91.53026766666669,81.97430599999997,99.18110800000008
4,stem_right,cbf_aux,nominal,mean_ttc,5,7.3021899257030345,6.760682159640223,7.862361754391965
4,stem_right,drppo,nominal,SR,5,0.012666666666666665,0.009,0.01633333333333333
4,stem_right,drppo,nominal,CR,5,0.3403333333333333,0.2783333333333333,0.4023333333333333
4,stem_right,drppo,nominal,mean_return,5,91.1498913333334,72.56353333333334,103.90884266666679
4,stem_right,drppo,nominal,mean_ttc,5,8.098892626968036,6.8935828902408005,9.513935812564952
4,stem_right,eikonal_aux,nominal,SR,5,0.006,0.0016666666666666666,0.011
4,stem_right,eikonal_aux,nominal,CR,5,0.2855,0.18783333333333332,0.39
4,stem_right,eikonal_aux,nominal,mean_return,5,75.38338033333329,66.88073199999992,86.5617766666667
4,stem_right,eikonal_aux,nominal,mean_ttc,5,10.599096275969796,8.091835487112373,13.439460967225301
4,stem_right,hjb_aux,nominal,SR,5,0.005,0.0006666666666666668,0.010333333333333333
4,stem_right,hjb_aux,nominal,CR,5,0.35700000000000004,0.22896666666666668,0.4653333333333333
4,stem_right,hjb_aux,nominal,mean_return,5,61.536754666666624,47.68336833333332,72.79624633333323
4,stem_right,hjb_aux,nominal,mean_ttc,5,8.460606708879258,6.431548436100053,11.659123163406145
4,stem_right,soft_hjb_aux,nominal,SR,5,0.011666666666666665,0.005666666666666667,0.017666666666666667
4,stem_right,soft_hjb_aux,nominal,CR,5,0.38666666666666666,0.2816666666666667,0.5176666666666667
4,stem_right,soft_hjb_aux,nominal,mean_return,5,32.50949999999996,10.997781666666636,45.22261666666661
4,stem_right,soft_hjb_aux,nominal,mean_ttc,5,8.02427016860038,6.740685609076249,9.70715666013498
